9x8 3 2
2	2	16	16	16	16	0	0	
2	2	16	16	16	16	0	0	
2	2	13	16	16	9	0	0	
4	4	13	16	16	9	8	8	
4	4	4	16	16	8	8	8	
4	4	4	16	16	8	8	8	
16	16	16	16	16	16	16	16	
16	16	16	16	16	16	16	16	
5	5	5	5	5	5	5	5	
2	1	0	0	0	1	.	2	
.	.	.	1	.	.	.	.	
1	.	2	.	.	0	.	1	
.	2	.	.	.	.	1	.	
2	0	.	2	2	.	0	2	
.	.	.	.	.	.	.	1	
0	.	1	.	.	2	.	0	
.	2	.	.	0	.	.	.	
0	.	0	1	1	1	.	2	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
-	1	-	-	-	-	0	-	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	
